grupo;tipo;quartos;area;preco;condominio;anunciante;url
venda_casa;Casa;2;;365000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-50m2-no-bela-vista-palhoca-9319927.html
venda_casa;Casa;2;;451579.0;;INVESTIMENTO IMOBILIÁRIO;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-76m2-no-bela-vista-palhoca-9540507.html
venda_casa;Casa;3;;820000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716501.html
venda_casa;Casa;2;;492000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716429.html
venda_casa;Casa;2;;360400.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8121103.html
venda_casa;Casa;2;;370000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717322.html
venda_casa;Casa;2;;470000.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8656157.html
venda_casa;Casa;2;;500000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716062.html
venda_casa;Casa;3;;580000.0;;Crédito Real Biguaçu;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8656412.html
venda_casa;Casa;2;;550000.0;;Crédito Real Village;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8718702.html
venda_casa;Casa;3;;630000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717378.html
venda_casa;Casa;3;;750000.0;;Crédito Real Plano A;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8718262.html
venda_casa;Casa;3;;780000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716470.html
venda_casa;Casa;3;;840000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716179.html
venda_casa;Casa;2;;450000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716128.html
venda_casa;Casa;2;;320000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716418.html
venda_casa;Casa;2;;415000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716264.html
venda_casa;Casa;2;;315880.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716058.html
venda_casa;Casa;3;;630000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717301.html
venda_casa;Casa;2;;410000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717252.html
venda_casa;Casa;3;;587000.0;;Crédito Real Iflex;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8539023.html
venda_casa;Casa;2;;380000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717251.html
venda_casa;Casa;2;;370000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8717364.html
venda_casa;Casa;3;;420000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717268.html
venda_casa;Casa;3;;620000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716406.html
venda_casa;Casa;3;;700000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8716472.html
venda_casa;Casa;2;;395000.0;;Crédito Real Iflex;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8538728.html
venda_casa;Casa;2;;480000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716037.html
venda_casa;Casa;3;;850000.0;;Crédito Real Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-99m2-no-bela-vista-palhoca-9086640.html
venda_casa;Casa;2;;350000.0;;Crédito Real Dorea;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8656694.html
venda_casa;Casa;2;;479000.0;;Crédito Real Grande Floripa;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8716511.html
venda_casa;Casa;3;;460000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8121117.html
venda_casa;Casa;2;;440000.0;;Crédito Real Costa Sul;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-8656980.html
venda_casa;Casa;3;;635000.0;;Crédito Real Imob48;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-8717287.html
venda_casa;Casa;3;;670000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1478492.html
venda_casa;Casa;4;;1600000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-4-quartos-no-bela-vista-palhoca-1415054.html
venda_casa;Casa;2;;600000.0;;Auxiliadora Predial - Pinheira;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1483811.html
venda_casa;Casa;3;;630000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1458808.html
venda_casa;Casa;3;;590000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1389717.html
venda_casa;Casa;2;;529000.0;;Auxiliadora Predial - Florianópolis - Sul da Ilha;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1327360.html
venda_casa;Casa;2;;500000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-2349432.html
venda_casa;Casa;2;;395000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1469818.html
venda_casa;Casa;2;;460000.0;;Qualité Imóveis Exclusivos;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-3749916.html
venda_casa;Casa;2;;460000.0;;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1453815.html
venda_casa;Casa;2;;370000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1480753.html
venda_casa;Casa;3;;560000.0;;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1453816.html
venda_casa;Casa;3;;660000.0;;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1414401.html
venda_casa;Casa;2;;474000.0;;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1404301.html
venda_casa;Casa;1;;350000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-1-quarto-no-bela-vista-palhoca-1457803.html
venda_casa;Casa;3;;820000.0;;Auxiliadora Predial - Florianópolis - Lagoa da Conceição;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-3-quartos-no-bela-vista-palhoca-1350155.html
venda_casa;Casa;2;;369000.0;;Auxiliadora Predial - Florianópolis Pedra Branca;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-no-bela-vista-palhoca-1479339.html
venda_casa;Casa;2;;475000.0;;Adriano Gregory Imóveis;https://www.imoveis-sc.com.br/palhoca/comprar/casa/bela-vista/casa-a-venda-com-2-quartos-46m2-no-bela-vista-palhoca-8177148.html
